Year,Exporter,Exporter_ISO3,Exporter_Region,Exporter_Alliance,UNSC_Permanent_Member,Importer,Importer_ISO3,Importer_Region,Weapon_Category,Weapon_Subtype,Weapon_Class,Deal_Value_USD_M,Quantity,Deal_Framework,Technology_Transfer,Delivery_Timeline_Months,Importer_GDP_Per_Capita,Importer_Political_Stability,Importer_Democracy_Index,Importer_Conflict_Proximity,Active_Territorial_Dispute,Natural_Resource_Dependence,Importer_Military_Spend_Pct_GDP,Arms_Import_Trend,UN_Embargo,Escalation_Risk
2017,United States,USA,North America,NATO,Yes,Japan,JPN,East Asia & Pacific,Armoured Vehicles,IFV,Offensive,78.8,115,Foreign Military Sales,No,30,43007,8.7,8.2,No,Yes,Low,1.2,Stable,No,Medium
2005,United States,USA,North America,NATO,Yes,Australia,AUS,East Asia & Pacific,Combat Aircraft,Fighter Jet,Offensive,398.2,5,Offset Agreement,No,42,57262,8.1,8.6,No,No,Medium,1.8,Accelerating,No,Medium
2017,United States,USA,North America,NATO,Yes,Australia,AUS,East Asia & Pacific,Naval Vessels,Frigate,Offensive,574.2,8,Foreign Military Sales,No,8,55177,8.4,8.7,No,No,Medium,2.0,Declining,No,Low
2021,United States,USA,North America,NATO,Yes,South Korea,KOR,East Asia & Pacific,Combat Aircraft,Fighter Jet,Offensive,492.3,2,Multilateral Programme,No,39,31235,7.6,8.0,No,Yes,Low,2.6,Declining,No,Medium
2024,United States,USA,North America,NATO,Yes,UAE,ARE,Middle East & North Africa,Naval Vessels,Submarine,Offensive,227.3,10,Multilateral Programme,Yes,22,42946,6.7,2.5,Yes,No,High,5.9,Stable,No,High
2017,United States,USA,North America,NATO,Yes,Taiwan,TWN,East Asia & Pacific,Armoured Vehicles,APC,Defensive,119.4,27,Foreign Military Sales,Yes,21,32721,7.0,8.8,No,Yes,Low,2.5,Stable,No,Low
2022,United States,USA,North America,NATO,Yes,South Korea,KOR,East Asia & Pacific,Naval Vessels,Frigate,Offensive,192.2,10,Foreign Military Sales,Yes,6,32176,7.4,8.2,No,Yes,Low,2.4,Stable,No,Medium
2013,United States,USA,North America,NATO,Yes,Poland,POL,Europe & Central Asia,Combat Aircraft,Multi-Role Aircraft,Offensive,341.4,11,Offset Agreement,Yes,31,18002,6.8,7.0,No,No,Low,4.2,Stable,No,Medium
2018,United States,USA,North America,NATO,Yes,Australia,AUS,East Asia & Pacific,Naval Vessels,Submarine,Offensive,864.5,14,Foreign Military Sales,Yes,8,58478,8.2,8.7,No,No,Medium,1.8,Stable,No,Low
2007,United States,USA,North America,NATO,Yes,South Korea,KOR,East Asia & Pacific,Missiles & Air Defence,SAM System,Defensive,118.5,40,Bilateral Defence Pact,Yes,31,32181,7.3,7.9,No,Yes,Low,2.6,Stable,No,Medium
2013,United States,USA,North America,NATO,Yes,South Korea,KOR,East Asia & Pacific,Naval Vessels,Frigate,Offensive,1200.0,8,Government-to-Government,No,42,31299,7.6,8.0,No,Yes,Low,2.5,Declining,No,Medium
2009,United States,USA,North America,NATO,Yes,Egypt,EGY,Middle East & North Africa,Small Arms & Light Weapons,ATGM,Offensive,8.9,161,Foreign Military Sales,No,35,3317,4.0,2.6,Yes,No,Low,1.3,Stable,No,Medium
2008,United States,USA,North America,NATO,Yes,Philippines,PHL,East Asia & Pacific,Small Arms & Light Weapons,Grenade Launcher Batch,Offensive,23.9,384,Multilateral Programme,No,43,3594,4.5,6.1,Yes,Yes,Low,1.1,Accelerating,No,High
2016,United States,USA,North America,NATO,Yes,Australia,AUS,East Asia & Pacific,Armoured Vehicles,MRAP,Defensive,45.0,24,Foreign Military Sales,Yes,31,57356,8.0,8.7,No,No,Medium,2.3,Stable,No,Low
2007,United States,USA,North America,NATO,Yes,UAE,ARE,Middle East & North Africa,Combat Aircraft,Fighter Jet,Offensive,205.6,5,Foreign Military Sales,Yes,20,42804,6.7,2.4,Yes,No,High,5.9,Declining,No,High
2016,United States,USA,North America,NATO,Yes,Poland,POL,Europe & Central Asia,Missiles & Air Defence,Anti-Ship Missile,Offensive,324.6,65,Government-to-Government,Yes,46,17681,7.2,7.1,No,No,Low,3.7,Accelerating,No,Low
2018,United States,USA,North America,NATO,Yes,Saudi Arabia,SAU,Middle East & North Africa,Naval Vessels,Submarine,Offensive,226.2,8,Government-to-Government,No,43,23146,4.2,1.8,Yes,No,High,5.9,Accelerating,No,High
2006,United States,USA,North America,NATO,Yes,Poland,POL,Europe & Central Asia,Naval Vessels,Patrol Boat,Defensive,147.1,6,Bilateral Defence Pact,No,20,18030,7.0,7.1,No,No,Low,3.9,Declining,No,Low
2005,United States,USA,North America,NATO,Yes,Australia,AUS,East Asia & Pacific,Artillery & Ammunition,Guided Munitions,Offensive,52.9,67,Direct Commercial Sale,No,38,51506,8.2,8.7,No,No,Medium,2.0,Stable,No,Low
2019,United States,USA,North America,NATO,Yes,Saudi Arabia,SAU,Middle East & North Africa,Helicopters,Attack Helicopter,Offensive,235.0,2,Foreign Military Sales,No,31,22087,4.1,1.7,Yes,No,High,6.2,Stable,No,High
2012,United States,USA,North America,NATO,Yes,Romania,ROU,Europe & Central Asia,Missiles & Air Defence,SAM System,Defensive,346.6,63,Foreign Military Sales,Yes,45,14834,6.1,6.4,No,No,Low,2.5,Declining,No,Low
2012,United States,USA,North America,NATO,Yes,Mexico,MEX,Latin America & Caribbean,Artillery & Ammunition,Guided Munitions,Offensive,43.5,52,Direct Commercial Sale,No,27,10657,3.6,5.5,No,No,Medium,0.3,Stable,No,Medium
2005,United States,USA,North America,NATO,Yes,Colombia,COL,Latin America & Caribbean,Sensors & Electronics,EW Suite,Defensive,15.8,9,Direct Commercial Sale,No,31,6327,3.8,6.0,Yes,No,Medium,3.5,Stable,No,High
2022,United States,USA,North America,NATO,Yes,South Korea,KOR,East Asia & Pacific,Missiles & Air Defence,Anti-Ship Missile,Offensive,149.1,52,Foreign Military Sales,No,29,31035,7.7,7.9,No,Yes,Low,2.4,Stable,No,Medium
2021,United States,USA,North America,NATO,Yes,Saudi Arabia,SAU,Middle East & North Africa,Armoured Vehicles,MRAP,Defensive,70.4,96,Government-to-Government,No,12,23351,3.9,1.9,Yes,No,High,5.8,Declining,No,Medium
2021,United States,USA,North America,NATO,Yes,Qatar,QAT,Middle East & North Africa,Combat Aircraft,Multi-Role Aircraft,Offensive,190.2,14,Direct Commercial Sale,No,35,60573,6.8,1.9,No,No,High,1.7,Declining,No,Low
2014,United States,USA,North America,NATO,Yes,Egypt,EGY,Middle East & North Africa,Armoured Vehicles,APC,Defensive,66.0,96,Multilateral Programme,No,13,3235,3.6,2.7,Yes,No,Low,1.4,Accelerating,No,High
2019,United States,USA,North America,NATO,Yes,Australia,AUS,East Asia & Pacific,Naval Vessels,Patrol Boat,Defensive,909.0,3,Foreign Military Sales,No,21,54095,8.3,8.6,No,No,Medium,1.9,Declining,No,Low
2011,United States,USA,North America,NATO,Yes,Egypt,EGY,Middle East & North Africa,Artillery & Ammunition,Mortar System,Offensive,85.3,3,Offset Agreement,No,16,3365,3.7,2.8,Yes,No,Low,1.2,Stable,No,High
2010,United States,USA,North America,NATO,Yes,Saudi Arabia,SAU,Middle East & North Africa,Helicopters,Utility Helicopter,Defensive,107.0,22,Direct Commercial Sale,Yes,35,22954,4.4,1.9,Yes,No,High,6.0,Accelerating,No,High
2018,United States,USA,North America,NATO,Yes,Iraq,IRQ,Middle East & North Africa,Helicopters,Transport Helicopter,Defensive,53.5,22,Multilateral Programme,No,34,4453,1.9,3.3,Yes,Yes,High,3.7,Accelerating,No,High
2008,United States,USA,North America,NATO,Yes,Japan,JPN,East Asia & Pacific,Naval Vessels,Frigate,Offensive,260.4,12,Foreign Military Sales,Yes,26,38488,8.4,8.2,No,Yes,Low,1.1,Stable,No,Low
2011,United States,USA,North America,NATO,Yes,Qatar,QAT,Middle East & North Africa,Naval Vessels,Patrol Boat,Defensive,730.3,14,Foreign Military Sales,Yes,6,55995,7.1,1.9,No,No,High,1.4,Accelerating,No,Low
2008,United States,USA,North America,NATO,Yes,South Korea,KOR,East Asia & Pacific,Artillery & Ammunition,Self-Propelled Howitzer,Offensive,34.8,25,Offset Agreement,No,38,30822,7.5,7.9,No,Yes,Low,2.8,Declining,No,Medium
2017,United States,USA,North America,NATO,Yes,UAE,ARE,Middle East & North Africa,Armoured Vehicles,APC,Defensive,19.3,44,Direct Commercial Sale,No,45,42552,6.6,2.6,Yes,No,High,5.8,Stable,No,Medium
2010,United States,USA,North America,NATO,Yes,UAE,ARE,Middle East & North Africa,Naval Vessels,Submarine,Offensive,108.5,16,Multilateral Programme,No,28,44542,6.9,2.7,Yes,No,High,5.8,Stable,No,High
2013,United States,USA,North America,NATO,Yes,Australia,AUS,East Asia & Pacific,Small Arms & Light Weapons,ATGM,Offensive,18.5,456,Government-to-Government,No,12,50899,8.3,8.6,No,No,Medium,2.3,Declining,No,Low
2022,United States,USA,North America,NATO,Yes,Mexico,MEX,Latin America & Caribbean,Helicopters,Attack Helicopter,Offensive,357.6,7,Foreign Military Sales,No,39,10616,3.8,5.6,No,No,Medium,0.4,Stable,No,Low
2021,United States,USA,North America,NATO,Yes,Philippines,PHL,East Asia & Pacific,Naval Vessels,Corvette,Offensive,302.6,13,Government-to-Government,Yes,40,3707,3.9,6.2,Yes,Yes,Low,1.1,Declining,No,High
2007,United States,USA,North America,NATO,Yes,Ukraine,UKR,Europe & Central Asia,Combat Aircraft,Fighter Jet,Offensive,308.1,16,Multilateral Programme,No,30,3701,2.5,5.5,Yes,Yes,Low,4.2,Accelerating,No,High
2022,United States,USA,North America,NATO,Yes,Iraq,IRQ,Middle East & North Africa,Armoured Vehicles,Main Battle Tank,Offensive,83.0,53,Bilateral Defence Pact,Yes,42,4915,1.8,3.5,Yes,Yes,High,3.7,Declining,No,High
2015,United States,USA,North America,NATO,Yes,Poland,POL,Europe & Central Asia,Sensors & Electronics,Radar System,Defensive,48.3,8,Offset Agreement,No,15,15768,6.9,6.8,No,No,Low,4.2,Stable,No,Low
2009,United States,USA,North America,NATO,Yes,Ukraine,UKR,Europe & Central Asia,Combat Aircraft,UAV/Drone,Offensive,846.9,17,Foreign Military Sales,No,30,3857,2.5,5.2,Yes,Yes,Low,4.7,Accelerating,No,High
2013,United States,USA,North America,NATO,Yes,Saudi Arabia,SAU,Middle East & North Africa,Combat Aircraft,UAV/Drone,Offensive,298.6,5,Direct Commercial Sale,Yes,20,21179,4.3,1.6,Yes,No,High,6.0,Declining,No,High
2020,United States,USA,North America,NATO,Yes,Australia,AUS,East Asia & Pacific,Artillery & Ammunition,MLRS,Offensive,66.9,63,Government-to-Government,No,45,56567,8.2,8.6,No,No,Medium,2.2,Stable,No,Low
2012,United States,USA,North America,NATO,Yes,Saudi Arabia,SAU,Middle East & North Africa,Armoured Vehicles,Main Battle Tank,Offensive,61.4,49,Direct Commercial Sale,No,32,23930,4.0,2.0,Yes,No,High,6.2,Accelerating,No,High
2014,United States,USA,North America,NATO,Yes,South Korea,KOR,East Asia & Pacific,Combat Aircraft,Fighter Jet,Offensive,193.4,4,Government-to-Government,No,7,30910,7.6,8.2,No,Yes,Low,2.7,Stable,No,Medium
2017,United States,USA,North America,NATO,Yes,Taiwan,TWN,East Asia & Pacific,Helicopters,Attack Helicopter,Offensive,164.7,2,Bilateral Defence Pact,No,34,33479,7.0,9.0,No,Yes,Low,2.6,Accelerating,No,High
2016,United States,USA,North America,NATO,Yes,Japan,JPN,East Asia & Pacific,Combat Aircraft,Multi-Role Aircraft,Offensive,723.3,18,Multilateral Programme,No,41,40944,8.6,8.1,No,Yes,Low,0.9,Declining,No,Low
2019,United States,USA,North America,NATO,Yes,Morocco,MAR,Middle East & North Africa,Missiles & Air Defence,Anti-Ship Missile,Offensive,137.9,47,Government-to-Government,Yes,46,3312,4.7,3.9,No,Yes,Medium,2.9,Accelerating,No,High
2018,United States,USA,North America,NATO,Yes,South Korea,KOR,East Asia & Pacific,Armoured Vehicles,Main Battle Tank,Offensive,23.3,62,Multilateral Programme,No,40,29599,7.6,7.9,No,Yes,Low,2.8,Stable,No,Low
2012,United States,USA,North America,NATO,Yes,Japan,JPN,East Asia & Pacific,Armoured Vehicles,Main Battle Tank,Offensive,265.4,75,Government-to-Government,Yes,29,42693,8.6,8.2,No,Yes,Low,1.2,Accelerating,No,Low
2021,United States,USA,North America,NATO,Yes,UAE,ARE,Middle East & North Africa,Naval Vessels,Frigate,Offensive,96.5,22,Government-to-Government,No,29,42541,7.1,2.4,Yes,No,High,5.6,Stable,No,High
2022,United States,USA,North America,NATO,Yes,Australia,AUS,East Asia & Pacific,Missiles & Air Defence,Cruise Missile,Offensive,416.3,34,Offset Agreement,No,29,51884,8.0,8.7,No,No,Medium,1.7,Stable,No,Low
2024,United States,USA,North America,NATO,Yes,Colombia,COL,Latin America & Caribbean,Missiles & Air Defence,Anti-Ship Missile,Offensive,416.1,31,Foreign Military Sales,Yes,27,6315,4.2,5.9,Yes,No,Medium,3.3,Declining,No,Medium
2014,United States,USA,North America,NATO,Yes,Saudi Arabia,SAU,Middle East & North Africa,Armoured Vehicles,Main Battle Tank,Offensive,226.4,10,Government-to-Government,No,46,23769,4.4,1.9,Yes,No,High,6.2,Accelerating,No,High
2011,United States,USA,North America,NATO,Yes,Nigeria,NGA,Sub-Saharan Africa,Artillery & Ammunition,Mortar System,Offensive,174.3,4,Foreign Military Sales,Yes,19,1959,2.5,3.9,Yes,Yes,High,0.4,Declining,No,High
2023,United States,USA,North America,NATO,Yes,Norway,NOR,Europe & Central Asia,Small Arms & Light Weapons,ATGM,Offensive,19.7,232,Foreign Military Sales,No,11,80736,8.6,10.0,No,No,High,2.0,Stable,No,Low
2014,United States,USA,North America,NATO,Yes,Australia,AUS,East Asia & Pacific,Missiles & Air Defence,SAM System,Defensive,79.3,8,Government-to-Government,No,36,54260,8.4,8.8,No,No,Medium,2.1,Stable,No,Low
2022,United States,USA,North America,NATO,Yes,Saudi Arabia,SAU,Middle East & North Africa,Sensors & Electronics,EW Suite,Defensive,167.9,4,Multilateral Programme,No,47,24811,4.1,1.7,Yes,No,High,5.9,Stable,No,High
2019,United States,USA,North America,NATO,Yes,Colombia,COL,Latin America & Caribbean,Armoured Vehicles,APC,Defensive,271.1,46,Foreign Military Sales,No,10,6052,3.9,5.8,Yes,No,Medium,3.1,Stable,No,Low
2011,United States,USA,North America,NATO,Yes,Singapore,SGP,East Asia & Pacific,Missiles & Air Defence,Cruise Missile,Offensive,157.8,29,Bilateral Defence Pact,No,45,66027,8.9,5.9,No,No,Low,3.0,Declining,No,Low
2018,United States,USA,North America,NATO,Yes,Greece,GRC,Europe & Central Asia,Missiles & Air Defence,MANPADS,Defensive,109.3,6,Foreign Military Sales,No,25,19614,6.3,7.3,No,Yes,Low,3.7,Declining,No,Low
2016,United States,USA,North America,NATO,Yes,Norway,NOR,Europe & Central Asia,Missiles & Air Defence,Anti-Ship Missile,Offensive,616.2,21,Bilateral Defence Pact,Yes,42,83449,8.5,9.6,No,No,High,1.7,Declining,No,Medium
2009,United States,USA,North America,NATO,Yes,Saudi Arabia,SAU,Middle East & North Africa,Combat Aircraft,Multi-Role Aircraft,Offensive,169.1,18,Offset Agreement,Yes,39,22349,4.5,1.8,Yes,No,High,5.9,Stable,No,High
2016,United States,USA,North America,NATO,Yes,South Korea,KOR,East Asia & Pacific,Naval Vessels,Frigate,Offensive,285.8,8,Offset Agreement,Yes,13,30240,7.3,8.2,No,Yes,Low,2.5,Stable,No,Medium
2015,United States,USA,North America,NATO,Yes,Australia,AUS,East Asia & Pacific,Artillery & Ammunition,Self-Propelled Howitzer,Offensive,132.8,77,Foreign Military Sales,No,6,52498,8.3,8.7,No,No,Medium,2.1,Accelerating,No,Medium
2006,United States,USA,North America,NATO,Yes,Thailand,THA,East Asia & Pacific,Small Arms & Light Weapons,ATGM,Offensive,13.1,225,Direct Commercial Sale,Yes,36,7475,5.2,4.6,No,No,Low,1.3,Stable,No,Low
2010,United States,USA,North America,NATO,Yes,India,IND,South Asia,Sensors & Electronics,Radar System,Defensive,89.8,1,Foreign Military Sales,No,30,2431,4.9,6.6,Yes,Yes,Low,2.4,Stable,No,Medium
2005,United States,USA,North America,NATO,Yes,South Korea,KOR,East Asia & Pacific,Armoured Vehicles,IFV,Offensive,268.3,78,Direct Commercial Sale,No,13,32098,7.5,7.8,No,Yes,Low,2.5,Stable,No,Medium
2006,United States,USA,North America,NATO,Yes,Saudi Arabia,SAU,Middle East & North Africa,Naval Vessels,Frigate,Offensive,50.4,23,Multilateral Programme,No,26,21880,3.9,1.9,Yes,No,High,6.2,Accelerating,No,High
2015,United States,USA,North America,NATO,Yes,South Korea,KOR,East Asia & Pacific,Missiles & Air Defence,SAM System,Defensive,76.4,79,Government-to-Government,No,32,34200,7.5,8.0,No,Yes,Low,2.4,Stable,No,Low
2006,United States,USA,North America,NATO,Yes,South Korea,KOR,East Asia & Pacific,Armoured Vehicles,IFV,Offensive,77.4,99,Multilateral Programme,No,36,33070,7.3,8.0,No,Yes,Low,2.5,Declining,No,Low
2008,United States,USA,North America,NATO,Yes,Greece,GRC,Europe & Central Asia,Combat Aircraft,Trainer/Light Combat,Defensive,437.5,15,Offset Agreement,No,27,20299,6.4,7.5,No,Yes,Low,3.5,Stable,No,Low
2014,United States,USA,North America,NATO,Yes,India,IND,South Asia,Sensors & Electronics,C4ISR Package,Defensive,87.2,18,Direct Commercial Sale,No,44,2567,4.6,6.6,Yes,Yes,Low,2.4,Stable,No,Medium
2019,United States,USA,North America,NATO,Yes,Iraq,IRQ,Middle East & North Africa,Armoured Vehicles,MRAP,Defensive,375.0,26,Foreign Military Sales,No,37,4804,1.9,3.6,Yes,Yes,High,3.2,Accelerating,No,High
2007,United States,USA,North America,NATO,Yes,Egypt,EGY,Middle East & North Africa,Naval Vessels,Corvette,Offensive,73.9,9,Direct Commercial Sale,No,24,3558,3.7,3.0,Yes,No,Low,1.5,Stable,No,Medium
2009,United States,USA,North America,NATO,Yes,Australia,AUS,East Asia & Pacific,Sensors & Electronics,Targeting Pod,Offensive,23.9,9,Government-to-Government,No,7,56493,7.9,8.8,No,No,Medium,1.9,Stable,No,Low
2007,United States,USA,North America,NATO,Yes,Singapore,SGP,East Asia & Pacific,Naval Vessels,Submarine,Offensive,645.5,23,Bilateral Defence Pact,Yes,40,67399,9.0,5.8,No,No,Low,3.2,Declining,No,Low
2017,United States,USA,North America,NATO,Yes,Norway,NOR,Europe & Central Asia,Artillery & Ammunition,Guided Munitions,Offensive,53.8,31,Government-to-Government,No,22,75515,9.1,9.8,No,No,High,1.6,Accelerating,No,Low
2023,United States,USA,North America,NATO,Yes,Poland,POL,Europe & Central Asia,Armoured Vehicles,MRAP,Defensive,89.5,34,Government-to-Government,No,23,17783,7.2,7.0,No,No,Low,3.9,Accelerating,No,Low
2018,United States,USA,North America,NATO,Yes,Norway,NOR,Europe & Central Asia,Combat Aircraft,Fighter Jet,Offensive,139.4,2,Offset Agreement,No,28,83521,9.0,9.7,No,No,High,1.9,Stable,No,Low
2009,United States,USA,North America,NATO,Yes,Egypt,EGY,Middle East & North Africa,Missiles & Air Defence,Cruise Missile,Offensive,378.2,46,Bilateral Defence Pact,No,11,3299,3.6,2.9,Yes,No,Low,1.2,Accelerating,No,Medium
2006,United States,USA,North America,NATO,Yes,UAE,ARE,Middle East & North Africa,Armoured Vehicles,MRAP,Defensive,139.9,70,Foreign Military Sales,No,19,40518,7.0,2.6,Yes,No,High,5.5,Declining,No,Medium
2010,United States,USA,North America,NATO,Yes,Taiwan,TWN,East Asia & Pacific,Combat Aircraft,Fighter Jet,Offensive,447.1,13,Offset Agreement,No,11,29442,6.9,8.9,No,Yes,Low,2.2,Accelerating,No,Medium
2009,United States,USA,North America,NATO,Yes,Saudi Arabia,SAU,Middle East & North Africa,Helicopters,Utility Helicopter,Defensive,153.5,9,Bilateral Defence Pact,Yes,26,21607,4.1,1.6,Yes,No,High,6.1,Accelerating,No,High
2008,United States,USA,North America,NATO,Yes,Saudi Arabia,SAU,Middle East & North Africa,Artillery & Ammunition,MLRS,Offensive,40.5,53,Direct Commercial Sale,No,42,24423,4.2,1.7,Yes,No,High,5.9,Stable,No,High
2018,United States,USA,North America,NATO,Yes,Saudi Arabia,SAU,Middle East & North Africa,Armoured Vehicles,IFV,Offensive,72.2,106,Bilateral Defence Pact,No,44,23438,4.1,1.9,Yes,No,High,6.1,Accelerating,No,High
2009,United States,USA,North America,NATO,Yes,India,IND,South Asia,Small Arms & Light Weapons,Sniper System,Offensive,14.9,240,Government-to-Government,No,31,2351,5.0,6.5,Yes,Yes,Low,2.5,Declining,No,Medium
2024,United States,USA,North America,NATO,Yes,South Korea,KOR,East Asia & Pacific,Sensors & Electronics,C4ISR Package,Defensive,63.4,9,Direct Commercial Sale,No,34,30870,7.8,7.9,No,Yes,Low,2.8,Declining,No,Low
2006,United States,USA,North America,NATO,Yes,UAE,ARE,Middle East & North Africa,Missiles & Air Defence,MANPADS,Defensive,262.8,46,Foreign Military Sales,No,42,39889,6.5,2.6,Yes,No,High,5.7,Declining,No,Medium
2007,United States,USA,North America,NATO,Yes,Iraq,IRQ,Middle East & North Africa,Combat Aircraft,UAV/Drone,Offensive,178.7,14,Offset Agreement,No,33,4591,1.9,3.5,Yes,Yes,High,3.7,Accelerating,No,High
2014,United States,USA,North America,NATO,Yes,Japan,JPN,East Asia & Pacific,Combat Aircraft,Fighter Jet,Offensive,479.3,2,Direct Commercial Sale,Yes,41,40736,8.7,8.2,No,Yes,Low,1.2,Accelerating,No,High
2022,United States,USA,North America,NATO,Yes,Taiwan,TWN,East Asia & Pacific,Armoured Vehicles,Main Battle Tank,Offensive,41.9,17,Government-to-Government,No,37,32596,7.0,8.7,No,Yes,Low,2.1,Stable,No,Medium
2013,United States,USA,North America,NATO,Yes,Norway,NOR,Europe & Central Asia,Missiles & Air Defence,MANPADS,Defensive,857.6,23,Bilateral Defence Pact,No,26,75328,9.0,9.9,No,No,High,1.9,Declining,No,Low
2022,United States,USA,North America,NATO,Yes,Japan,JPN,East Asia & Pacific,Artillery & Ammunition,MLRS,Offensive,27.4,76,Bilateral Defence Pact,No,30,42799,8.2,8.0,No,Yes,Low,1.0,Stable,No,Medium
2022,United States,USA,North America,NATO,Yes,Saudi Arabia,SAU,Middle East & North Africa,Armoured Vehicles,IFV,Offensive,120.2,47,Direct Commercial Sale,No,24,21718,4.0,1.8,Yes,No,High,6.2,Stable,No,High
2012,United States,USA,North America,NATO,Yes,South Korea,KOR,East Asia & Pacific,Missiles & Air Defence,SAM System,Defensive,363.1,66,Bilateral Defence Pact,Yes,47,32807,7.4,8.1,No,Yes,Low,2.8,Stable,No,Low
2006,United States,USA,North America,NATO,Yes,Australia,AUS,East Asia & Pacific,Missiles & Air Defence,Anti-Ship Missile,Offensive,185.1,59,Foreign Military Sales,No,39,57276,8.3,8.8,No,No,Medium,2.2,Stable,No,Low
2023,United States,USA,North America,NATO,Yes,Ukraine,UKR,Europe & Central Asia,Small Arms & Light Weapons,Sniper System,Offensive,45.8,73,Foreign Military Sales,Yes,43,3747,2.6,5.2,Yes,Yes,Low,4.6,Accelerating,No,High
2017,United States,USA,North America,NATO,Yes,Colombia,COL,Latin America & Caribbean,Combat Aircraft,Multi-Role Aircraft,Offensive,1350.0,24,Foreign Military Sales,Yes,9,6035,3.9,6.0,Yes,No,Medium,3.3,Accelerating,No,High
2023,United States,USA,North America,NATO,Yes,India,IND,South Asia,Naval Vessels,Frigate,Offensive,242.6,6,Foreign Military Sales,No,41,2349,4.9,6.5,Yes,Yes,Low,2.3,Accelerating,No,High
2019,United States,USA,North America,NATO,Yes,Brazil,BRA,Latin America & Caribbean,Small Arms & Light Weapons,Grenade Launcher Batch,Offensive,6.7,309,Government-to-Government,No,20,8575,5.7,6.9,No,No,Medium,1.3,Stable,No,Medium
2024,United States,USA,North America,NATO,Yes,Colombia,COL,Latin America & Caribbean,Missiles & Air Defence,MANPADS,Defensive,140.5,52,Offset Agreement,Yes,31,6888,4.1,5.9,Yes,No,Medium,3.4,Stable,No,Medium
2009,United States,USA,North America,NATO,Yes,Australia,AUS,East Asia & Pacific,Artillery & Ammunition,Mortar System,Offensive,72.6,71,Foreign Military Sales,No,36,58719,8.2,8.5,No,No,Medium,1.9,Accelerating,No,Medium
